stadiumId,tenantId,teamName,league,conference,conferenceAbbreviation,division,city,state,country,stadiumName,encompassingFacility,nonCorporateName,shortName,nickname,formerNames,surface,roof,constructionCost,renovations,artificialCapacity,capacity,openingDate,firstUsedDate,lastUsedDate,closingDate,active,activeForTeam,visited,visits,logoUrl,markerSizeX,markerSizeY,positionLat,positionLng,imageWithFans,imageEmpty,imageFacade,imageAerial,primaryFieldImage,primaryPerspectiveImage
aac-dallas-2001,DallasMavericks,Dallas Mavericks,NBA,Western Conference,Western,Southwest,Dallas,TX,USA,American Airlines Center,,,,,,,Arena,420000000,,21146,19200,2001,2001,,,True,True,False,0,https://i.imgur.com/PlR4KwL.png,31,32,32.7905350282131,-96.8098148339857,https://i.imgur.com/CnidA0u.jpg,https://i.imgur.com/CSSiYtb.jpg,https://i.imgur.com/BTKnBqe.jpg,https://i.imgur.com/52pWvsL.jpg,https://i.imgur.com/CSSiYtb.jpg,https://i.imgur.com/52pWvsL.jpg
ball-arena-denver-1999,DenverNuggets,Denver Nuggets,NBA,Western Conference,Western,Northwest,Denver,CO,USA,Ball Arena,,,,,Pepsi Center (1999-2020),,Arena,187000000,,,19520,1999,1999,,,True,True,False,0,https://i.imgur.com/CvfwUE1.png,32,32,39.7488544535948,-105.006926885278,https://i.imgur.com/1jXA2uA.jpg,https://i.imgur.com/4pAsd4I.jpg,https://i.imgur.com/gJlsNqL.jpg,https://i.imgur.com/geGh36G.jpg,https://i.imgur.com/4pAsd4I.jpg,https://i.imgur.com/geGh36G.jpg
united-center-chicago-1994,ChicagoBulls,Chicago Bulls,NBA,Eastern Conference,Eastern,Central,Chicago,IL,USA,United Center,,,,The Madhouse on Madison,,,Arena,175000000,,23129,20917,1994,1994,,,True,True,False,0,https://i.imgur.com/BmkBgyr.png,32,32,41.8808904790772,-87.6737574772839,https://i.imgur.com/rsx1lJy.jpg,https://i.imgur.com/mjOCEiP.jpg,https://i.imgur.com/oqkHZVQ.jpg,https://i.imgur.com/vEMj6Uc.jpg,https://i.imgur.com/mjOCEiP.jpg,https://i.imgur.com/vEMj6Uc.jpg
moda-center-portland-1995,PortlandTrailBlazers,Portland Trail Blazers,NBA,Western Conference,Western,Northwest,Portland,OR,USA,Moda Center,,Rose Garden,,,Rose Garden (1995-2013),,Arena,262000000,,,19393,1995,1995,,,True,True,True,1,https://i.imgur.com/8NjpUpz.png,33,28,45.5317078775675,-122.666134198636,https://i.imgur.com/uuaXdhj.jpg,https://i.imgur.com/EfjuTlC.jpg,https://i.imgur.com/Jk8Egg3.jpg,https://i.imgur.com/AmQwEJt.jpg,https://i.imgur.com/EfjuTlC.jpg,https://i.imgur.com/AmQwEJt.jpg
smoothie-king-center-new-orleans-1999,NewOrleansPelicans,New Orleans Pelicans,NBA,Western Conference,Western,Southwest,New Orleans,LA,USA,Smoothie King Center,,New Orleans Arena,,,New Orleans Arena (1999-2014),,Arena,114000000,,18500,16867,1999,2002,,,True,True,False,0,https://i.imgur.com/0EQ63iz.png,36,27,29.9493139678137,-90.0815525468326,https://i.imgur.com/BkWmKpY.jpg,https://i.imgur.com/LlGl1kq.jpg,https://i.imgur.com/0Kw1rOx.png,https://i.imgur.com/c18p1OM.jpg,https://i.imgur.com/LlGl1kq.jpg,https://i.imgur.com/c18p1OM.jpg
vivint-arena-utah-1991,UtahJazz,Utah Jazz,NBA,Western Conference,Western,Northwest,Salt Lake City,UT,USA,Vivint Arena,,,,,Delta Center (1991-2006) --- EnergySolutions Arena (2006-2015) --- Vivint Smart Home Arena (2015-2020),,Arena,93000000,,,18306,1991,1991,,,True,True,False,0,https://i.imgur.com/UzsF1a8.png,37,24,40.7684549667764,-111.900701163816,https://i.imgur.com/JPsI0sT.jpg,https://i.imgur.com/Db7oEuo.jpg,https://i.imgur.com/yTL9BIv.jpg,https://i.imgur.com/VGuUASt.jpg,https://i.imgur.com/Db7oEuo.jpg,https://i.imgur.com/VGuUASt.jpg
ftx-arena-miami-1999,MiamiHeat,Miami Heat,NBA,Eastern Conference,Eastern,Southeast,Miami,FL,USA,FTX Arena,,,,,American Airlines Arena (1999-2021),,Arena,213000000,,,19600,1999,2000,,,True,True,False,0,https://i.imgur.com/8SoLZuh.png,26,36,25.7817105315512,-80.1864540180585,https://i.imgur.com/UbZ5fq7.jpg,https://i.imgur.com/WU4Xngz.jpg,https://i.imgur.com/RJoIb6l.jpg,https://i.imgur.com/kjels7P.jpg,https://i.imgur.com/WU4Xngz.jpg,https://i.imgur.com/kjels7P.jpg
chase-center-san-francisco-2019,GoldenStateWarriors,Golden State Warriors,NBA,Western Conference,Western,Pacific,San Francisco,CA,USA,Chase Center,,,,,,,Arena,1400000000,,,18046,2019,2019,,,True,True,False,0,https://i.imgur.com/B6nJ9nb.png,29,35,37.7681370151462,-122.387458777374,https://i.imgur.com/G4vT8lC.jpg,https://i.imgur.com/KZEP8rD.jpg,https://i.imgur.com/6TevLqR.jpg,https://i.imgur.com/mztoBSQ.jpg,https://i.imgur.com/KZEP8rD.jpg,https://i.imgur.com/mztoBSQ.jpg
fedex-forum-memphis-2004,MemphisGrizzlies,Memphis Grizzlies,NBA,Western Conference,Western,Southwest,Memphis,TN,USA,FedEx Forum,,,,,,,Arena,250000000,,,17794,2004,2004,,,True,True,False,0,https://i.imgur.com/h06iVu3.png,29,35,35.1383172537483,-90.050264536946,https://i.imgur.com/93xVpx2.jpg,https://i.imgur.com/6WtYCI5.jpg,https://i.imgur.com/ssuJQgn.jpg,https://i.imgur.com/MpxP6Yy.jpg,https://i.imgur.com/6WtYCI5.jpg,https://i.imgur.com/ssuJQgn.jpg
msg-new-york-1968,NewYorkKnicks,New York Knicks,NBA,Eastern Conference,Eastern,Atlantic,New York City,NY,USA,Madison Square Garden,,,,The Garden,,,Arena,123000000,200000000 (1989-1991),,19812,1968,1968,,,True,True,False,0,https://i.imgur.com/3cEjGzp.png,35,27,40.7507564383421,-73.9925911238867,https://i.imgur.com/V8uDsPD.jpg,https://i.imgur.com/UIp3kvh.jpg,https://i.imgur.com/x22zz4q.jpg,https://i.imgur.com/Lquzves.jpg,https://i.imgur.com/UIp3kvh.jpg,https://i.imgur.com/x22zz4q.jpg
gainbridge-fieldhouse-indianapolis-1999,IndianaPacers,Indiana Pacers,NBA,Eastern Conference,Eastern,Central,Indianapolis,IN,USA,Gainbridge Fieldhouse,,,,The Fieldhouse,Conseco Fieldhouse (1999-2011) --- Bankers Life Fieldhouse (2011-2021),,Arena,183000000,,,17923,1999,1999,,,True,True,True,3,https://i.imgur.com/GgU5NXe.png,32,32,39.7642990388518,-86.1551182773311,https://i.imgur.com/Ua9FPD8.jpg,https://i.imgur.com/gmbVKjo.jpg,https://i.imgur.com/uuXuLTM.jpg,https://i.imgur.com/G9s1hMZ.jpg,https://i.imgur.com/gmbVKjo.jpg,https://i.imgur.com/uuXuLTM.jpg
toyota-center-houston-2003,HoustonRockets,Houston Rockets,NBA,Western Conference,Western,Southwest,Houston,TX,USA,Toyota Center,,,,,,,Arena,235000000,,,18055,2003,2003,,,True,True,False,0,https://i.imgur.com/rQqaus5.png,36,27,29.7509094168657,-95.3616391621781,https://i.imgur.com/Zq3ES4N.jpg,https://i.imgur.com/MJG7fS3.jpg,https://i.imgur.com/4y3o59m.jpg,https://i.imgur.com/DdJ9fRl.jpg,https://i.imgur.com/MJG7fS3.jpg,https://i.imgur.com/DdJ9fRl.jpg
spectrum-center-charlotte-2005,CharlotteHornets,Charlotte Hornets,NBA,Eastern Conference,Eastern,Southeast,Charlotte,NC,USA,Spectrum Center,,,,,Time Warner Cable Arena (2005-2016),,Arena,260000000,,20200,19077,2005,2005,,,True,True,False,0,https://i.imgur.com/oJYMBiJ.png,32,31,35.2254769013934,-80.8388114890685,https://i.imgur.com/cuupTZ8.jpg,https://i.imgur.com/jxP2WcM.jpg,https://i.imgur.com/haJPGuq.jpg,https://i.imgur.com/HF66v69.jpg,https://i.imgur.com/jxP2WcM.jpg,https://i.imgur.com/HF66v69.jpg
